Time,Level,Host,Service,Log,CompleteLog
2025-01-20T16:11:42.503Z,In(05),host-2377,content-library,Running the API Health command as user content-library,2025-01-20T16:11:42.503Z In(05) host-2377 <content-library> Running the API Health command as user content-library
2025-01-20T16:11:42.503Z,In(05),host-2377,content-library-healthcmd,Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n content-library -u /cls/cmhealthstatus -t 10,2025-01-20T16:11:42.503Z In(05) host-2377 <content-library-healthcmd> Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n content-library -u /cls/cmhealthstatus -t 10
2025-01-20T16:11:42.903Z,Wa(03),host-2377,content-library,Service api-health command's stderr: Exception while retrieving health xml from url http://localhost:16666/cls/cmhealthstatus. Exception: <urlopen error [Errno 111] Connection refused>,2025-01-20T16:11:42.903Z Wa(03) host-2377 <content-library> Service api-health command's stderr: Exception while retrieving health xml from url http://localhost:16666/cls/cmhealthstatus. Exception: <urlopen error [Errno 111] Connection refused>
2025-01-20T16:11:42.903Z,Wa(03),host-2377,,Wa(03)+ host-2377,2025-01-20T16:11:42.903Z Wa(03)+ host-2377
2025-01-20T16:11:43.018Z,In(05),host-2377,content-library,Re-check service health since it is still initializing.,2025-01-20T16:11:43.018Z In(05) host-2377 <content-library> Re-check service health since it is still initializing.
2025-01-20T16:11:47.018Z,In(05),host-2377,content-library,Running the API Health command as user content-library,2025-01-20T16:11:47.018Z In(05) host-2377 <content-library> Running the API Health command as user content-library
2025-01-20T16:11:47.018Z,In(05),host-2377,content-library-healthcmd,Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n content-library -u /cls/cmhealthstatus -t 10,2025-01-20T16:11:47.018Z In(05) host-2377 <content-library-healthcmd> Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n content-library -u /cls/cmhealthstatus -t 10
2025-01-20T16:11:47.440Z,Wa(03),host-2377,content-library,Service api-health command's stderr: Exception while retrieving health xml from url http://localhost:16666/cls/cmhealthstatus. Exception: <urlopen error [Errno 111] Connection refused>,2025-01-20T16:11:47.440Z Wa(03) host-2377 <content-library> Service api-health command's stderr: Exception while retrieving health xml from url http://localhost:16666/cls/cmhealthstatus. Exception: <urlopen error [Errno 111] Connection refused>
2025-01-20T16:11:47.440Z,Wa(03),host-2377,,Wa(03)+ host-2377,2025-01-20T16:11:47.440Z Wa(03)+ host-2377
2025-01-20T16:11:47.551Z,In(05),host-2377,content-library,Re-check service health since it is still initializing.,2025-01-20T16:11:47.551Z In(05) host-2377 <content-library> Re-check service health since it is still initializing.
2025-01-20T16:11:51.253Z,Wa(03),host-2377,vsphere-ui,Service api-health command's stderr: Exception while retrieving health xml from url http://localhost:5090/ui/healthstatus. Exception: timed out,2025-01-20T16:11:51.253Z Wa(03) host-2377 <vsphere-ui> Service api-health command's stderr: Exception while retrieving health xml from url http://localhost:5090/ui/healthstatus. Exception: timed out
2025-01-20T16:11:51.253Z,Wa(03),host-2377,,Wa(03)+ host-2377,2025-01-20T16:11:51.253Z Wa(03)+ host-2377
2025-01-20T16:11:51.304Z,In(05),host-2377,vsphere-ui,Re-check service health since it is still initializing.,2025-01-20T16:11:51.304Z In(05) host-2377 <vsphere-ui> Re-check service health since it is still initializing.
2025-01-20T16:11:51.551Z,In(05),host-2377,content-library,Running the API Health command as user content-library,2025-01-20T16:11:51.551Z In(05) host-2377 <content-library> Running the API Health command as user content-library
2025-01-20T16:11:51.551Z,In(05),host-2377,content-library-healthcmd,Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n content-library -u /cls/cmhealthstatus -t 10,2025-01-20T16:11:51.551Z In(05) host-2377 <content-library-healthcmd> Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n content-library -u /cls/cmhealthstatus -t 10
2025-01-20T16:11:51.931Z,Wa(03),host-2377,content-library,Service api-health command's stderr: Exception while retrieving health xml from url http://localhost:16666/cls/cmhealthstatus. Exception: <urlopen error [Errno 111] Connection refused>,2025-01-20T16:11:51.931Z Wa(03) host-2377 <content-library> Service api-health command's stderr: Exception while retrieving health xml from url http://localhost:16666/cls/cmhealthstatus. Exception: <urlopen error [Errno 111] Connection refused>
2025-01-20T16:11:51.931Z,Wa(03),host-2377,,Wa(03)+ host-2377,2025-01-20T16:11:51.931Z Wa(03)+ host-2377
2025-01-20T16:11:51.969Z,In(05),host-2377,content-library,Re-check service health since it is still initializing.,2025-01-20T16:11:51.969Z In(05) host-2377 <content-library> Re-check service health since it is still initializing.
2025-01-20T16:11:55.305Z,In(05),host-2377,vsphere-ui,Running the API Health command as user vsphere-ui,2025-01-20T16:11:55.305Z In(05) host-2377 <vsphere-ui> Running the API Health command as user vsphere-ui
2025-01-20T16:11:55.305Z,In(05),host-2377,vsphere-ui-healthcmd,Constructed command: /usr/bin/python /usr/lib/vmware-vsphere-ui/scripts/vsphereUiHealthCmd.py -n vsphere-ui -u /ui/healthstatus -t 30 -d,2025-01-20T16:11:55.305Z In(05) host-2377 <vsphere-ui-healthcmd> Constructed command: /usr/bin/python /usr/lib/vmware-vsphere-ui/scripts/vsphereUiHealthCmd.py -n vsphere-ui -u /ui/healthstatus -t 30 -d
2025-01-20T16:11:55.971Z,In(05),host-2377,content-library,Running the API Health command as user content-library,2025-01-20T16:11:55.971Z In(05) host-2377 <content-library> Running the API Health command as user content-library
2025-01-20T16:11:55.971Z,In(05),host-2377,content-library-healthcmd,Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n content-library -u /cls/cmhealthstatus -t 10,2025-01-20T16:11:55.971Z In(05) host-2377 <content-library-healthcmd> Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n content-library -u /cls/cmhealthstatus -t 10
2025-01-20T16:11:56.372Z,Wa(03),host-2377,content-library,Service api-health command's stderr: Exception while retrieving health xml from url http://localhost:16666/cls/cmhealthstatus. Exception: <urlopen error [Errno 111] Connection refused>,2025-01-20T16:11:56.372Z Wa(03) host-2377 <content-library> Service api-health command's stderr: Exception while retrieving health xml from url http://localhost:16666/cls/cmhealthstatus. Exception: <urlopen error [Errno 111] Connection refused>
2025-01-20T16:11:56.372Z,Wa(03),host-2377,,Wa(03)+ host-2377,2025-01-20T16:11:56.372Z Wa(03)+ host-2377
2025-01-20T16:11:56.432Z,In(05),host-2377,content-library,Re-check service health since it is still initializing.,2025-01-20T16:11:56.432Z In(05) host-2377 <content-library> Re-check service health since it is still initializing.
2025-01-20T16:11:59.274Z,In(05),host-2377,vsphere-ui,Service STARTED successfully.,2025-01-20T16:11:59.274Z In(05) host-2377 <vsphere-ui> Service STARTED successfully.
2025-01-20T16:11:59.274Z,In(05),host-2377,event-pub,"Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonEventPublisher.py --eventdata vsphere-ui,HEALTHY,UNHEALTHY,0","2025-01-20T16:11:59.274Z In(05) host-2377 <event-pub> Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonEventPublisher.py --eventdata vsphere-ui,HEALTHY,UNHEALTHY,0"
2025-01-20T16:11:59.275Z,In(05),host-2377,perfcharts-prestart,Constructed command: /usr/bin/python /usr/lib/vmware-perfcharts/scripts/perfcharts_prestart.py,2025-01-20T16:11:59.275Z In(05) host-2377 <perfcharts-prestart> Constructed command: /usr/bin/python /usr/lib/vmware-perfcharts/scripts/perfcharts_prestart.py
2025-01-20T16:12:00.434Z,In(05),host-2377,content-library,Running the API Health command as user content-library,2025-01-20T16:12:00.434Z In(05) host-2377 <content-library> Running the API Health command as user content-library
2025-01-20T16:12:00.434Z,In(05),host-2377,content-library-healthcmd,Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n content-library -u /cls/cmhealthstatus -t 10,2025-01-20T16:12:00.434Z In(05) host-2377 <content-library-healthcmd> Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n content-library -u /cls/cmhealthstatus -t 10
2025-01-20T16:12:01.106Z,In(05),host-2377,perfcharts,Service pre-start command completed successfully.,2025-01-20T16:12:01.106Z In(05) host-2377 <perfcharts> Service pre-start command completed successfully.
2025-01-20T16:12:01.106Z,In(05),host-2377,perfcharts,Constructed command: /usr/java/jre-vmware/bin/vmware-perfcharts -Dlog4j.configurationFile=/var/lib/vmware-perfcharts/config/log4j.properties -Djava.util.logging.config.file=/usr/lib/vmware-perfcharts/tc-instance/conf/logging.properties -Djava.util.logging.manager=org.apache.juli.ClassLoaderLogManager -Djava.io.tmpdir=/usr/lib/vmware-perfcharts/tc-instance/temp -Dcatalina.base=/usr/lib/vmware-perfcharts/tc-instance -Dvim.logdir=/var/log/vmware/perfcharts -DPERFCHARTS_HOME=/usr/lib/vmware-perfcharts -DPERFCHARTS_CFG_DIR=/etc/vmware-perfcharts -Doracle.jdbc.timezoneAsRegion=false -XX:+UseConcMarkSweepGC -XX:+CMSClassUnloadingEnabled -XX:+CMSPermGenSweepingEnabled -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/var/log/vmware/perfcharts -XX:ErrorFile=/var/log/vmware/perfcharts/java_error%p.log -XX:+PrintGCDetails -XX:+PrintGCDateStamps -XX:+PrintReferenceGC -XX:CICompilerCount=2 -Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.port=13032 -Dcom.sun.management.jmxremote.ssl=false -Dcom.sun.management.jmxremote.host=localhost -Dcom.sun.management.jmxremote.authenticate=true -Dcom.sun.management.jmxremote.access.file=/etc/vmware/vmware-vmon/svcCfgfiles/jmx/perfcharts.access -Dcom.sun.management.jmxremote.password.file=/etc/vmware/vmware-vmon/svcCfgfiles/jmx/perfcharts.password -Xloggc:/var/log/vmware/perfcharts/vmware-perfcharts-gc.log -Djava.library.path=../lib -classpath /opt/vmware/vpostgres/current/lib/postgresql.jdbc4.jar:/usr/lib/vmware/common-jars/expression4j.jar:/usr/lib/vmware/common-jars/expression4jCFG.jar:/usr/lib/vmware/common-jars/jackson-annotations-2.15.2.jar:/usr/lib/vmware/common-jars/jackson-core-2.15.2.jar:/usr/lib/vmware/common-jars/jackson-databind-2.15.2.jar:/usr/lib/vmware/common-jars/woodstox-core-6.5.1.jar:/usr/lib/vmware/common-jars/junixsocket-common-2.3.2.jar:/usr/lib/vmware/common-jars/junixsocket-native-common-2.3.2.jar:/usr/lib/vmware/common-jars/sqljdbc-4.1.jar:/usr/lib/vmware/common-jars/custom-rolling-file-appender-1.0.jar:/usr/lib/vmware/common-jars/commons-beanutils-1.9.4.jar:/usr/lib/vmware/common-jars/commons-chain-1.2.jar:/usr/lib/vmware/common-jars/commons-codec-1.10.jar:/usr/lib/vmware/common-jars/commons-collections-3.2.2.jar:/usr/lib/vmware/common-jars/commons-dbcp-1.4.jar:/usr/lib/vmware/common-jars/commons-digester-1.8.1.jar:/usr/lib/vmware/common-jars/commons-discovery-0.4.jar:/usr/lib/vmware/common-jars/commons-fileupload-1.5.jar:/usr/lib/vmware/common-jars/commons-lang-2.6.jar:/usr/lib/vmware/common-jars/commons-logging-1.2.jar:/usr/lib/vmware/common-jars/commons-pool-1.6.jar:/usr/lib/vmware/common-jars/commons-validator-1.4.1.jar:/usr/lib/vmware/common-jars/opentracing-api-0.32.0.jar:/usr/lib/vmware/common-jars/opentracing-noop-0.32.0.jar:/usr/lib/vmware/common-jars/opentracing-util-0.32.0.jar:/usr/lib/vmware/common-jars/ognl-3.1.12.jar:/usr/lib/vmware/common-jars/commons-jci-core-1.1.jar:/usr/lib/vmware/common-jars/commons-jci-fam-1.1.jar:/usr/lib/vmware/common-jars/commons-lang3-3.12.0.jar:/usr/lib/vmware/common-jars/log4j-1.2-api-2.21.1.jar:/usr/lib/vmware/common-jars/log4j-api-2.21.1.jar:/usr/lib/vmware/common-jars/log4j-core-2.21.1.jar:/usr/lib/vmware/common-jars/log4j-jcl-2.21.1.jar:/usr/lib/vmware/common-jars/taglibs-standard-compat-1.2.5.jar:/usr/lib/vmware/common-jars/taglibs-standard-impl-1.2.5.jar:/usr/lib/vmware/common-jars/taglibs-standard-jstlel-1.2.5.jar:/usr/lib/vmware/common-jars/taglibs-standard-spec-1.2.5.jar:/usr/lib/vmware/common-jars/libthrift-0.14.1.jar:/usr/lib/vmware/common-jars/stax2-api-3.1.4.jar:/usr/lib/vmware/common-jars/ecj-4.5.jar:/usr/lib/vmware/common-jars/freemarker-2.3.22.jar:/usr/lib/vmware/common-jars/javassist-3.20.0-GA.jar:/usr/lib/vmware/common-jars/slf4j-api-1.7.30.jar:/usr/lib/vmware/common-jars/xml-apis-1.4.01.jar:/usr/lib/vmware/common-jars/spring-aop-5.3.36.jar:/usr/lib/vmware/common-jars/spring-beans-5.3.36.jar:/usr/lib/vmware/common-jars/spring-context-5.3.36.jar:/usr/lib/vmware/common-jars/spring-core-5.3.36.jar:/usr/lib/vmware/common-jars/spring-expression-5.3.36.jar:/usr/lib/vmware/common-jars/tomcat-embed-core-9.0.91.jar:/usr/lib/vmware/common-jars/tomcat-embed-el-9.0.91.jar:/usr/lib/vmware/common-jars/tomcat-embed-jasper-9.0.91.jar:/usr/lib/vmware/common-jars/guava-32.1.0-jre.jar:/usr/lib/vmware/common-jars/httpclient-4.5.13.jar:/usr/lib/vmware/common-jars/httpcore-4.4.13.jar:/usr/lib/vmware/common-jars/jna-4.5.2.jar:/usr/lib/vmware/common-jars/bcprov-jdk15on-1.60.jar:/usr/lib/vmware/common-jars/jaeger-core-1.3.2.jar:/usr/lib/vmware/common-jars/jaeger-thrift-1.3.2.jar:/usr/lib/vmware/common-jars/commons-io-2.1.jar org.apache.catalina.startup.Bootstrap fips_ready 1 start,2025-01-20T16:12:01.106Z In(05) host-2377 <perfcharts> Constructed command: /usr/java/jre-vmware/bin/vmware-perfcharts -Dlog4j.configurationFile=/var/lib/vmware-perfcharts/config/log4j.properties -Djava.util.logging.config.file=/usr/lib/vmware-perfcharts/tc-instance/conf/logging.properties -Djava.util.logging.manager=org.apache.juli.ClassLoaderLogManager -Djava.io.tmpdir=/usr/lib/vmware-perfcharts/tc-instance/temp -Dcatalina.base=/usr/lib/vmware-perfcharts/tc-instance -Dvim.logdir=/var/log/vmware/perfcharts -DPERFCHARTS_HOME=/usr/lib/vmware-perfcharts -DPERFCHARTS_CFG_DIR=/etc/vmware-perfcharts -Doracle.jdbc.timezoneAsRegion=false -XX:+UseConcMarkSweepGC -XX:+CMSClassUnloadingEnabled -XX:+CMSPermGenSweepingEnabled -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/var/log/vmware/perfcharts -XX:ErrorFile=/var/log/vmware/perfcharts/java_error%p.log -XX:+PrintGCDetails -XX:+PrintGCDateStamps -XX:+PrintReferenceGC -XX:CICompilerCount=2 -Dcom.sun.management.jmxremote=true -Dcom.sun.management.jmxremote.port=13032 -Dcom.sun.management.jmxremote.ssl=false -Dcom.sun.management.jmxremote.host=localhost -Dcom.sun.management.jmxremote.authenticate=true -Dcom.sun.management.jmxremote.access.file=/etc/vmware/vmware-vmon/svcCfgfiles/jmx/perfcharts.access -Dcom.sun.management.jmxremote.password.file=/etc/vmware/vmware-vmon/svcCfgfiles/jmx/perfcharts.password -Xloggc:/var/log/vmware/perfcharts/vmware-perfcharts-gc.log -Djava.library.path=../lib -classpath /opt/vmware/vpostgres/current/lib/postgresql.jdbc4.jar:/usr/lib/vmware/common-jars/expression4j.jar:/usr/lib/vmware/common-jars/expression4jCFG.jar:/usr/lib/vmware/common-jars/jackson-annotations-2.15.2.jar:/usr/lib/vmware/common-jars/jackson-core-2.15.2.jar:/usr/lib/vmware/common-jars/jackson-databind-2.15.2.jar:/usr/lib/vmware/common-jars/woodstox-core-6.5.1.jar:/usr/lib/vmware/common-jars/junixsocket-common-2.3.2.jar:/usr/lib/vmware/common-jars/junixsocket-native-common-2.3.2.jar:/usr/lib/vmware/common-jars/sqljdbc-4.1.jar:/usr/lib/vmware/common-jars/custom-rolling-file-appender-1.0.jar:/usr/lib/vmware/common-jars/commons-beanutils-1.9.4.jar:/usr/lib/vmware/common-jars/commons-chain-1.2.jar:/usr/lib/vmware/common-jars/commons-codec-1.10.jar:/usr/lib/vmware/common-jars/commons-collections-3.2.2.jar:/usr/lib/vmware/common-jars/commons-dbcp-1.4.jar:/usr/lib/vmware/common-jars/commons-digester-1.8.1.jar:/usr/lib/vmware/common-jars/commons-discovery-0.4.jar:/usr/lib/vmware/common-jars/commons-fileupload-1.5.jar:/usr/lib/vmware/common-jars/commons-lang-2.6.jar:/usr/lib/vmware/common-jars/commons-logging-1.2.jar:/usr/lib/vmware/common-jars/commons-pool-1.6.jar:/usr/lib/vmware/common-jars/commons-validator-1.4.1.jar:/usr/lib/vmware/common-jars/opentracing-api-0.32.0.jar:/usr/lib/vmware/common-jars/opentracing-noop-0.32.0.jar:/usr/lib/vmware/common-jars/opentracing-util-0.32.0.jar:/usr/lib/vmware/common-jars/ognl-3.1.12.jar:/usr/lib/vmware/common-jars/commons-jci-core-1.1.jar:/usr/lib/vmware/common-jars/commons-jci-fam-1.1.jar:/usr/lib/vmware/common-jars/commons-lang3-3.12.0.jar:/usr/lib/vmware/common-jars/log4j-1.2-api-2.21.1.jar:/usr/lib/vmware/common-jars/log4j-api-2.21.1.jar:/usr/lib/vmware/common-jars/log4j-core-2.21.1.jar:/usr/lib/vmware/common-jars/log4j-jcl-2.21.1.jar:/usr/lib/vmware/common-jars/taglibs-standard-compat-1.2.5.jar:/usr/lib/vmware/common-jars/taglibs-standard-impl-1.2.5.jar:/usr/lib/vmware/common-jars/taglibs-standard-jstlel-1.2.5.jar:/usr/lib/vmware/common-jars/taglibs-standard-spec-1.2.5.jar:/usr/lib/vmware/common-jars/libthrift-0.14.1.jar:/usr/lib/vmware/common-jars/stax2-api-3.1.4.jar:/usr/lib/vmware/common-jars/ecj-4.5.jar:/usr/lib/vmware/common-jars/freemarker-2.3.22.jar:/usr/lib/vmware/common-jars/javassist-3.20.0-GA.jar:/usr/lib/vmware/common-jars/slf4j-api-1.7.30.jar:/usr/lib/vmware/common-jars/xml-apis-1.4.01.jar:/usr/lib/vmware/common-jars/spring-aop-5.3.36.jar:/usr/lib/vmware/common-jars/spring-beans-5.3.36.jar:/usr/lib/vmware/common-jars/spring-context-5.3.36.jar:/usr/lib/vmware/common-jars/spring-core-5.3.36.jar:/usr/lib/vmware/common-jars/spring-expression-5.3.36.jar:/usr/lib/vmware/common-jars/tomcat-embed-core-9.0.91.jar:/usr/lib/vmware/common-jars/tomcat-embed-el-9.0.91.jar:/usr/lib/vmware/common-jars/tomcat-embed-jasper-9.0.91.jar:/usr/lib/vmware/common-jars/guava-32.1.0-jre.jar:/usr/lib/vmware/common-jars/httpclient-4.5.13.jar:/usr/lib/vmware/common-jars/httpcore-4.4.13.jar:/usr/lib/vmware/common-jars/jna-4.5.2.jar:/usr/lib/vmware/common-jars/bcprov-jdk15on-1.60.jar:/usr/lib/vmware/common-jars/jaeger-core-1.3.2.jar:/usr/lib/vmware/common-jars/jaeger-thrift-1.3.2.jar:/usr/lib/vmware/common-jars/commons-io-2.1.jar org.apache.catalina.startup.Bootstrap fips_ready 1 start
2025-01-20T16:12:02.108Z,In(05),host-2377,perfcharts,Running the API Health command as user perfcharts,2025-01-20T16:12:02.108Z In(05) host-2377 <perfcharts> Running the API Health command as user perfcharts
2025-01-20T16:12:02.108Z,In(05),host-2377,perfcharts-healthcmd,Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n perfcharts -u /statsreport/healthstatus -t 10,2025-01-20T16:12:02.108Z In(05) host-2377 <perfcharts-healthcmd> Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n perfcharts -u /statsreport/healthstatus -t 10
2025-01-20T16:12:02.512Z,Wa(03),host-2377,perfcharts,Service api-health command's stderr: Exception while retrieving health xml from url http://localhost:13080/statsreport/healthstatus. Exception: <urlopen error [Errno 111] Connection refused>,2025-01-20T16:12:02.512Z Wa(03) host-2377 <perfcharts> Service api-health command's stderr: Exception while retrieving health xml from url http://localhost:13080/statsreport/healthstatus. Exception: <urlopen error [Errno 111] Connection refused>
2025-01-20T16:12:02.512Z,Wa(03),host-2377,,Wa(03)+ host-2377,2025-01-20T16:12:02.512Z Wa(03)+ host-2377
2025-01-20T16:12:02.576Z,In(05),host-2377,perfcharts,Re-check service health since it is still initializing.,2025-01-20T16:12:02.576Z In(05) host-2377 <perfcharts> Re-check service health since it is still initializing.
2025-01-20T16:12:03.870Z,In(05),host-2377,content-library,Service STARTED successfully.,2025-01-20T16:12:03.870Z In(05) host-2377 <content-library> Service STARTED successfully.
2025-01-20T16:12:03.870Z,In(05),host-2377,event-pub,"Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonEventPublisher.py --eventdata content-library,HEALTHY,UNHEALTHY,0","2025-01-20T16:12:03.870Z In(05) host-2377 <event-pub> Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonEventPublisher.py --eventdata content-library,HEALTHY,UNHEALTHY,0"
2025-01-20T16:12:06.577Z,In(05),host-2377,perfcharts,Running the API Health command as user perfcharts,2025-01-20T16:12:06.577Z In(05) host-2377 <perfcharts> Running the API Health command as user perfcharts
2025-01-20T16:12:06.577Z,In(05),host-2377,perfcharts-healthcmd,Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n perfcharts -u /statsreport/healthstatus -t 10,2025-01-20T16:12:06.577Z In(05) host-2377 <perfcharts-healthcmd> Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n perfcharts -u /statsreport/healthstatus -t 10
2025-01-20T16:12:06.925Z,Wa(03),host-2377,perfcharts,Service api-health command's stderr: Exception while retrieving health xml from url http://localhost:13080/statsreport/healthstatus. Exception: <urlopen error [Errno 111] Connection refused>,2025-01-20T16:12:06.925Z Wa(03) host-2377 <perfcharts> Service api-health command's stderr: Exception while retrieving health xml from url http://localhost:13080/statsreport/healthstatus. Exception: <urlopen error [Errno 111] Connection refused>
2025-01-20T16:12:06.925Z,Wa(03),host-2377,,Wa(03)+ host-2377,2025-01-20T16:12:06.925Z Wa(03)+ host-2377
2025-01-20T16:12:06.981Z,In(05),host-2377,perfcharts,Re-check service health since it is still initializing.,2025-01-20T16:12:06.981Z In(05) host-2377 <perfcharts> Re-check service health since it is still initializing.
2025-01-20T16:12:10.982Z,In(05),host-2377,perfcharts,Running the API Health command as user perfcharts,2025-01-20T16:12:10.982Z In(05) host-2377 <perfcharts> Running the API Health command as user perfcharts
2025-01-20T16:12:10.982Z,In(05),host-2377,perfcharts-healthcmd,Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n perfcharts -u /statsreport/healthstatus -t 10,2025-01-20T16:12:10.982Z In(05) host-2377 <perfcharts-healthcmd> Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n perfcharts -u /statsreport/healthstatus -t 10
2025-01-20T16:12:21.393Z,Wa(03),host-2377,perfcharts,Service api-health command's stderr: Exception while retrieving health xml from url http://localhost:13080/statsreport/healthstatus. Exception: timed out,2025-01-20T16:12:21.393Z Wa(03) host-2377 <perfcharts> Service api-health command's stderr: Exception while retrieving health xml from url http://localhost:13080/statsreport/healthstatus. Exception: timed out
2025-01-20T16:12:21.393Z,Wa(03),host-2377,,Wa(03)+ host-2377,2025-01-20T16:12:21.393Z Wa(03)+ host-2377
2025-01-20T16:12:21.489Z,In(05),host-2377,perfcharts,Re-check service health since it is still initializing.,2025-01-20T16:12:21.489Z In(05) host-2377 <perfcharts> Re-check service health since it is still initializing.
2025-01-20T16:12:25.490Z,In(05),host-2377,perfcharts,Running the API Health command as user perfcharts,2025-01-20T16:12:25.490Z In(05) host-2377 <perfcharts> Running the API Health command as user perfcharts
2025-01-20T16:12:25.490Z,In(05),host-2377,perfcharts-healthcmd,Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n perfcharts -u /statsreport/healthstatus -t 10,2025-01-20T16:12:25.490Z In(05) host-2377 <perfcharts-healthcmd> Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n perfcharts -u /statsreport/healthstatus -t 10
2025-01-20T16:12:25.698Z,In(05),host-2377,perfcharts,Service STARTED successfully.,2025-01-20T16:12:25.698Z In(05) host-2377 <perfcharts> Service STARTED successfully.
2025-01-20T16:12:25.698Z,In(05),host-2377,,In(05) host-2377 Successfully executed service batch operation START.,2025-01-20T16:12:25.698Z In(05) host-2377 Successfully executed service batch operation START.
2025-01-20T16:12:25.708Z,Er(02),host-2377,,Er(02) host-2377 Error reading file. Details Is a directory,2025-01-20T16:12:25.708Z Er(02) host-2377 Error reading file. Details Is a directory
2025-01-20T16:12:25.708Z,Er(02),host-2377,,Er(02) host-2377 Failed to read json config /etc/vmware/vmware-vmon/svcCfgfiles/jmx,2025-01-20T16:12:25.708Z Er(02) host-2377 Failed to read json config /etc/vmware/vmware-vmon/svcCfgfiles/jmx
2025-01-20T16:12:25.710Z,In(05),host-2377,event-pub,"Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonEventPublisher.py --eventdata perfcharts,HEALTHY,UNHEALTHY,0","2025-01-20T16:12:25.710Z In(05) host-2377 <event-pub> Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonEventPublisher.py --eventdata perfcharts,HEALTHY,UNHEALTHY,0"
2025-01-20T16:17:26.158Z,In(05),host-2377,,"In(05) host-2377 Executing service batch op API_HEALTH. IgnoreFail=1, service count=42","2025-01-20T16:17:26.158Z In(05) host-2377 Executing service batch op API_HEALTH. IgnoreFail=1, service count=42"
2025-01-20T16:17:26.158Z,In(05),host-2377,envoy-sidecar,Running the API Health command as user envoy-sidecar,2025-01-20T16:17:26.158Z In(05) host-2377 <envoy-sidecar> Running the API Health command as user envoy-sidecar
2025-01-20T16:17:26.158Z,In(05),host-2377,envoy-sidecar-healthcmd,Constructed command: /usr/bin/python /usr/lib/vmware-envoy-sidecar/envoy-vmon-apihealth.py,2025-01-20T16:17:26.158Z In(05) host-2377 <envoy-sidecar-healthcmd> Constructed command: /usr/bin/python /usr/lib/vmware-envoy-sidecar/envoy-vmon-apihealth.py
2025-01-20T16:17:26.159Z,In(05),host-2377,netdumper,"Skip service health check. State STOPPED, Curr request 0","2025-01-20T16:17:26.159Z In(05) host-2377 <netdumper> Skip service health check. State STOPPED, Curr request 0"
2025-01-20T16:17:26.159Z,In(05),host-2377,vmware-vpostgres,Running the API Health command as user vpostgres,2025-01-20T16:17:26.159Z In(05) host-2377 <vmware-vpostgres> Running the API Health command as user vpostgres
2025-01-20T16:17:26.159Z,In(05),host-2377,vmware-vpostgres-healthcmd,Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n vmware-vpostgres -f /dev/shm/vmware-postgres-health-status.xml,2025-01-20T16:17:26.159Z In(05) host-2377 <vmware-vpostgres-healthcmd> Constructed command: /usr/bin/python /usr/lib/vmware-vmon/vmonApiHealthCmd.py -n vmware-vpostgres -f /dev/shm/vmware-postgres-health-status.xml
2025-01-20T16:17:26.159Z,In(05),host-2377,vcha,"Skip service health check. State STOPPED, Curr request 0","2025-01-20T16:17:26.159Z In(05) host-2377 <vcha> Skip service health check. State STOPPED, Curr request 0"
2025-01-20T16:17:26.159Z,In(05),host-2377,rhttpproxy,Running the API Health command as user rhttpproxy,2025-01-20T16:17:26.159Z In(05) host-2377 <rhttpproxy> Running the API Health command as user rhttpproxy
